Order id,Date,Product,City,Quantity,Price,sales,,,
1290,5/12/2026,Mobile,Nashik,6,34500,207000,,,
3289,5/18/2026,Cooling Fan,Thane,6,1700,10200,,,
4389,5/13/2026,Laptop,kolhapur,8,78000,624000,,,
6574,5/14/2026,Earbuds,Pune,8,3500,28000,,,
5456,5/15/2026,Charger,Pune,9,1950,17550,,,
2341,5/16/2026,SSD,Nashik,12,3450,41400,,,
5683,5/19/2026,Mouse,Shirpur,14,900,12600,,,
9834,5/17/2026,RAM,Dhule,19,1900,36100,,,
7854,5/20/2026,Keyboard,Navapur,20,2600,52000,,,
4502,5/21/2026,Remote,Nashik,30,150,4500,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
